"#","category","title_ar","title_en","sku","vendor","price","offer_price","offer_start_at","offer_end_at","description_ar","description_en","qty","status"
"1","Novels","بع بالطريقة التي تشتري بها","بع بالطريقة التي تشتري بها","dbr9W5","DAR KALEMAT","6","","","","بع بالطريقة التي تشتري بها","بع بالطريقة التي تشتري بها","","on"
"2","autobiographical books","على خطى الرسول","على خطى الرسول","03ntPX","DAR KALEMAT","5","","","","على خطى الرسول","على خطى الرسول","","on"
"3","business books","ارسم لتربح","ارسم لتربح","5iFeNc","DAR KALEMAT","6","","","","ارسم لتربح","ارسم لتربح","","on"
"4","poetry and literature","تهوي ايه","تهوي ايه","ND7y7V","DAR KALEMAT","3","","","","تهوي ايه","تهوي ايه","","on"
"5","Novels","الثقافة في زمن الجائحة","الثقافة في زمن الجائحة","jnDoa1","DAR KALEMAT","4","","","","الثقافة في زمن الجائحة","الثقافة في زمن الجائحة","","on"
"6","Novels","انت ايضا صحابية","انت ايضا صحابية","Rwoj8t","DAR KALEMAT","5","","","","انت ايضا صحابية","انت ايضا صحابية","","on"
"7","Gifts","كروت تاملات قرانية","كروت تاملات قرانية","sPgMYN","DAR KALEMAT","4","","","","كروت تاملات قرانية","كروت تاملات قرانية","","on"
"8","Gifts","كروت مع القران","كروت مع القران","bfsafb","DAR KALEMAT","4","","","","كروت مع القران","كروت مع القران","","on"
"9","Gifts","كروت دعاء","كروت دعاء","yEn119","DAR KALEMAT","4","","","","كروت دعاء","كروت دعاء","","on"
"10","Gifts","كروت الحياة تحبك","كروت الحياة تحبك","UBQ1b9","DAR KALEMAT","4","","","","كروت الحياة تحبك","كروت الحياة تحبك","","on"
"11","Gifts","كروت تفاءل","كروت تفاءل","h8IwWb","DAR KALEMAT","4","","","","كروت تفاءل","كروت تفاءل","","on"
"12","Gifts","كروت اطمئن","كروت اطمئن","a6ZlfL","DAR KALEMAT","4","","2022-10-23","2022-10-31","كروت اطمئن","كروت اطمئن","","on"
"13","Gifts","كروت نزار قباني","كروت نزار قباني","90lpur","DAR KALEMAT","4","","","","كروت نزار قباني","كروت نزار قباني","","on"
"14","Gifts","كروت امي العزيزة","كروت امي العزيزة","mXA1fC","DAR KALEMAT","4","","","","كروت امي العزيزة","كروت امي العزيزة","","on"
"15","Gifts","كروت محمود درويش","كروت محمود درويش","gD4dHN","DAR KALEMAT","4","","","","كروت محمود درويش","كروت محمود درويش","","on"
"16","Gifts","كروت جبران خليل جبران","كروت جبران خليل جبران","FPkvQd","DAR KALEMAT","4","","","","كروت جبران خليل جبران","كروت جبران خليل جبران","","on"
"17","Gifts","كروت جلال الدين الرومي","كروت جلال الدين الرومي","kGsrUF","DAR KALEMAT","4","","","","كروت جلال الدين الرومي","كروت جلال الدين الرومي","","on"
"18","graduating","مجموعة التخرج","Graduation collection","GNVJ2TVI","Peonita","27.5","","","","مجموعة التخرج","Graduation collection","46","on"
"19","graduating","مجموعة التخرج","Graduation collection","80JVQLXK","Peonita","25","","","","مجموعة التخرج","Graduation collection","100","on"
"20","Bouquets","بوكيه البيونيا","Peonia bouquet","YUJODJJT","Peonita","21.5","","","","بوكيه البيونيا","Peonia bouquet","","on"
"21","Car accessories,Girls Toys","تعليقة - زيونة ميني -سماوي","Hanger - Zayona mini - Blue sky","MAWKWL6A","Blankets","6.5","","","","تعليقة - زيونة ميني -سماوي","Hanger - Zayona mini - Blue sky","20","on"
"22","Dolls & Soft Plush,Girls Toys","تعليقة - زيونة ميني  - أصفر","Hanger - Zayona mini  - Yellow","SKTRLM1E","Blankets","6.5","","","","تعليقة - زيونة ميني  - أصفر","Hanger - Zayona mini  - Yellow","20","on"
"23","Car accessories,Girls Toys","تعليقة - زيونة ميني  - وردي","Hanger - Zayona mini  - Pink","BNFZOPNZ","Blankets","6.5","","","","تعليقة - زيونة ميني  - وردي","Hanger - Zayona mini  - Pink","19","on"
"24","Car accessories,Girls Toys","تعليقة - زيونة ميني  - بني","Hanger - Zayona mini  - Brown","RH4TXATI","DAR KALEMAT","10","","","","تعليقة - زيونة ميني  - بني","Hanger - Zayona mini  - Brown","","on"
"25","Car accessories,Girls Toys","تعليقة - زيونة ميني - تركواز","Hanger - Zayona  mini - Turquoise","XDB5XGDH","DAR KALEMAT","","","","","تعليقة - زيونة ميني - تركواز","Hanger - Zayona  mini - Turquoise","","on"
